,Номер,Наименование водного объекта,Азот нитритный,Азот аммонийный,Азот нитратный,Фенол,Нефтепродукты,Органические вещества (по ХПК),Железо,Медь,Цинк,Марганец,БПК5,Период наблюдений,Дата модификации
141,142,"р. Тура, в створе с. Салаирка",0,0,0,0,0,0,0,0,0,0,0,2016-03-18 00:00:00,2016-04-15 09:22:39
142,143,"р. Тура, выше г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2016-03-18 00:00:00,2016-04-15 09:23:32
143,144,"р. Тура, ниже г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2016-03-18 00:00:00,2016-04-15 09:24:20
144,145,"р. Ишим, в створе с. Ильинское",0,0,0,0,0,0,0,0,0,0,0,2016-03-18 00:00:00,2016-04-15 09:54:36
145,146,"р. Ишим, выше г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2016-03-18 00:00:00,2016-04-15 09:55:13
146,147,"р. Ишим, ниже г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2016-03-18 00:00:00,2016-04-15 09:55:56
147,148,"р. Тобол, в створе с. Коркино",0,0,0,0,0,0,0,0,0,0,0,2016-03-18 00:00:00,2016-04-15 09:56:47
148,149,"р. Тобол, выше г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2016-03-18 00:00:00,2016-04-15 09:58:28
149,150,"р. Тобол, ниже г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2016-03-18 00:00:00,2016-04-15 09:59:23
150,151,"р. Тура, в створе с. Салаирка",0,1,0,1,1,0,0,0,0,0,0,2016-04-22 00:00:00,2016-05-23 12:05:53
151,152,"р. Тура, выше г. Тюмени",1,1,0,1,0,0,0,0,0,0,0,2016-04-22 00:00:00,2016-05-23 12:10:13
152,153,"р. Тура, ниже г. Тюмени",1,1,0,1,0,0,0,0,0,0,0,2016-04-22 00:00:00,2016-05-23 12:11:19
153,154,"р. Тура, в створе с. Покровское",1,1,0,1,0,0,0,0,0,0,0,2016-04-22 00:00:00,2016-05-23 12:12:43
154,155,"р. Ишим, в створе с. Ильинское",0,1,0,1,0,0,0,0,0,0,0,2016-04-22 00:00:00,2016-05-23 12:34:19
155,156,"р. Ишим, выше г. Ишима",1,1,0,1,0,0,0,0,0,0,0,2016-04-22 00:00:00,2016-05-23 12:35:38
156,157,"р. Ишим, ниже г. Ишима",0,1,0,1,0,0,0,0,0,0,0,2016-04-22 00:00:00,2016-05-23 12:36:34
157,158,"р. Ишим, в створе с. Абатское",1,1,0,0,0,0,0,0,0,0,0,2016-04-22 00:00:00,2016-05-23 12:37:49
158,159,"р. Тобол, в створе с. Коркино",1,1,0,1,1,0,0,0,0,0,0,2016-04-22 00:00:00,2016-05-23 12:40:13
159,160,"р. Тобол, выше г. Ялуторовска",1,1,0,0,0,0,0,0,0,0,0,2016-04-22 00:00:00,2016-05-23 12:53:59
160,161,"р. Тобол, ниже г. Ялуторовска",1,1,0,0,0,0,0,0,0,0,0,2016-04-22 00:00:00,2016-05-23 12:54:40
161,162,"р. Тобол, в створе с. Иевлево",1,1,0,1,1,0,0,0,0,0,0,2016-04-22 00:00:00,2016-05-23 12:56:09
162,163,"р. Тура, в створе с. Салаирка",0,0,0,1,1,0,0,0,0,0,0,2016-05-20 00:00:00,2016-08-06 14:46:38
163,164,"р. Тура, выше г. Тюмени",1,1,0,0,0,0,0,0,0,0,0,2016-05-20 00:00:00,2016-08-06 14:48:19
164,165,"р. Тура, ниже г. Тюмени",1,1,0,0,0,0,0,0,0,0,0,2016-05-20 00:00:00,2016-08-06 14:49:45
165,166,"р. Тура, в створе с. Покровское",1,1,0,1,0,0,0,0,0,0,0,2016-05-20 00:00:00,2016-08-06 14:50:57
166,167,"р. Ишим, в створе с. Ильинское",0,0,0,1,0,0,0,0,0,0,0,2016-05-20 00:00:00,2016-08-06 14:53:21
167,168,"р. Ишим, выше г. Ишима",1,1,0,1,0,0,0,0,0,0,0,2016-05-20 00:00:00,2016-08-06 14:54:06
168,169,"р. Ишим, ниже г. Ишима",0,0,0,1,0,0,0,0,0,0,0,2016-05-20 00:00:00,2016-08-06 14:56:16
169,170,"р. Ишим, в створе с. Абатское",0,0,0,1,0,0,0,0,0,0,0,2016-05-20 00:00:00,2016-08-06 14:57:00
170,171,"р. Тобол, в створе с. Коркино",0,0,0,0,1,0,0,0,0,0,0,2016-05-20 00:00:00,2016-08-06 14:57:41
171,172,"р. Тобол, выше г. Ялуторовска",0,0,0,1,0,0,0,0,0,0,0,2016-05-20 00:00:00,2016-08-06 14:58:56
172,173,"р. Тобол, ниже г. Ялуторовска",0,0,0,1,0,0,0,0,0,0,0,2016-05-20 00:00:00,2016-08-06 14:59:38
173,174,"р. Тобол, в створе с. Иевлево",0,1,0,1,0,0,0,0,0,0,0,2016-05-20 00:00:00,2016-08-06 15:00:58
174,175,"р. Тура, в створе с. Салаирка",1,1,0,1,0,0,0,0,0,0,0,2016-06-17 00:00:00,2016-11-07 14:47:22
175,176,"р. Тура, выше г. Тюмени",1,1,0,1,1,0,0,0,0,0,0,2016-06-17 00:00:00,2016-11-07 14:48:09
176,177,"р. Тура, ниже г. Тюмени",1,1,0,1,1,0,0,0,0,0,0,2016-06-17 00:00:00,2016-11-07 14:48:53
177,178,"р. Тура, в створе с. Покровское",0,1,0,1,0,0,0,0,0,0,0,2016-06-17 00:00:00,2016-11-07 14:49:44
178,179,"р. Ишим, в створе с. Ильинское",1,1,0,1,1,0,0,0,0,0,0,2016-06-17 00:00:00,2016-11-07 14:53:09
179,180,"р. Ишим, выше г. Ишима",1,0,0,1,0,0,0,0,0,0,0,2016-06-17 00:00:00,2016-11-07 14:54:04
180,181,"р. Ишим, ниже г. Ишима",1,0,0,1,0,0,0,0,0,0,0,2016-06-17 00:00:00,2016-11-07 14:55:06
181,182,"р. Ишим, в створе с. Абатское",1,0,0,0,1,0,0,0,0,0,0,2016-06-17 00:00:00,2016-11-07 14:56:07
182,183,"р. Тобол, в створе с. Коркино",1,1,0,0,1,0,0,0,0,0,0,2016-06-17 00:00:00,2016-11-07 14:56:58
183,184,"р. Тобол, выше г. Ялуторовска",0,1,0,1,0,0,0,0,0,0,0,2016-06-17 00:00:00,2016-11-07 14:57:44
184,185,"р. Тобол, ниже г. Ялуторовска",0,1,0,1,0,0,0,0,0,0,0,2016-06-17 00:00:00,2016-11-07 14:58:39
185,186,"р. Тобол, в створе с. Иевлево",1,1,0,1,0,0,0,0,0,0,0,2016-06-17 00:00:00,2016-11-07 14:59:29
186,187,"р. Тура, в створе с. Салаирка",0,1,0,1,0,0,0,0,0,0,0,2016-07-22 00:00:00,2016-11-08 12:38:23
187,188,"р. Тура, выше г. Тюмени",0,1,0,1,0,0,0,0,0,0,0,2016-07-22 00:00:00,2016-11-08 12:39:11
188,189,"р. Тура, ниже г. Тюмени",0,1,0,1,0,0,0,0,0,0,0,2016-07-22 00:00:00,2016-11-08 12:39:47
189,190,"р. Тура, в створе с. Покровское",0,1,0,1,0,0,0,0,0,0,0,2016-07-22 00:00:00,2016-11-08 12:40:38
190,191,"р. Ишим, в створе с. Ильинское",1,1,0,1,1,0,0,0,0,0,0,2016-07-22 00:00:00,2016-11-08 12:41:32
